Customer ID,Customer_Name,Segment,Recency,Frequency,Monetary,Recency_log,Frequency_log,Monetary_log,Recency_scaled,Frequency_scaled,Monetary_scaled,Cluster
AH-75,Adam Hart,Corporate,38,8,3608.34,3.663561646,2.197224577,8.191280209,0.02133705275,-0.553597063,-0.1519569152,1
AI-10855,Arianne Irving,Consumer,14,22,8358.6023,2.708050201,3.135494216,9.031166133,-0.69242992,0.7202500986,0.4994805842,2
AI-855,Arianne Irving,Consumer,204,4,919.974,5.323009979,1.609437912,6.825431806,1.260944824,-1.351609003,-1.211344676,1
AJ-10780,Anthony Jacobs,Corporate,49,25,15186.0672,3.912023005,3.258096538,9.628199503,0.2069376682,0.886701845,0.9625552876,2
AJ-10795,Anthony Johnson,Corporate,63,22,8887.077,4.158883083,3.135494216,9.092465995,0.3913421266,0.7202500986,0.5470263607,2
AJ-10945,Ashley Jarboe,Consumer,29,29,11087.024,3.401197382,3.401197382,9.313620886,-0.1746490318,1.080983527,0.7185598812,2
AJ-10960,Astrea Jones,Consumer,49,17,8633.59348,3.912023005,2.890371758,9.063531911,0.2069376682,0.3874581861,0.5245843286,2
AJ-780,Anthony Jacobs,Corporate,2,12,2570.994,1.098612289,2.564949357,7.852436753,-1.894679911,-0.05435340408,-0.4147727664,2
AJ-795,Anthony Johnson,Corporate,37,10,3395.58,3.63758616,2.397895273,8.130524322,0.001933366489,-0.2811553412,-0.199080771,1
AJ-945,Ashley Jarboe,Consumer,105,7,4860.924,4.663439094,2.079441542,8.489189523,0.7682454262,-0.7135058775,0.07910934408,1
AJ-960,Astrea Jones,Consumer,295,10,4629.156,5.690359454,2.397895273,8.44034584,1.535354853,-0.2811553412,0.04122490509,1
AM-10360,Alice McCarthy,Corporate,16,33,16730.3296,2.833213344,3.526360525,9.725038265,-0.5989330623,1.250911987,1.037665966,2
AM-10705,Anne McFarland,Consumer,26,30,24218.5645,3.295836866,3.433987204,10.09491604,-0.2533533285,1.125500818,1.324552843,2
AM-360,Alice McCarthy,Corporate,176,6,2035.827,5.176149733,1.945910149,7.619148484,1.151240232,-0.8947955393,-0.5957172519,1
AM-705,Anne McFarland,Consumer,137,6,1303.77,4.927253685,1.945910149,7.173782059,0.9653149045,-0.8947955393,-0.9411551046,1
AO-10810,Anthony O'Donnell,Corporate,37,27,14537.7966,3.63758616,3.33220451,9.584575983,0.001933366489,0.9873149589,0.9287197443,2
AO-810,Anthony O'Donnell,Corporate,8,5,485.007,2.197224577,1.791759469,6.186223027,-1.07401662,-1.104079095,-1.70713173,1
AP-10720,Anne Pryor,Home Office,42,20,15362.0613,3.761200116,3.044522438,9.63972129,0.09427298168,0.5967417416,0.9714918876,2
AP-10915,Arthur Prichep,Consumer,77,32,15877.8603,4.356708827,3.496507561,9.672743963,0.539117941,1.21038194,0.9971051365,2
AP-720,Anne Pryor,Home Office,38,6,999.699,3.663561646,1.945910149,6.908454035,0.02133705275,-0.8947955393,-1.146950463,1
AP-915,Arthur Prichep,Consumer,93,5,2668.08,4.543294782,1.791759469,7.889489123,0.6784976348,-1.104079095,-0.3860339786,1
AR-10345,Alex Russell,Corporate,30,26,14165.7962,3.433987204,3.295836866,9.55865621,-0.1501550367,0.937940218,0.90861569,2
AR-10405,Allen Rosenblatt,Corporate,55,22,8956.82078,4.025351691,3.135494216,9.10028226,0.291594187,0.7202500986,0.5530888606,2
AR-10510,Andrew Roberts,Consumer,15,29,14277.88536,2.772588722,3.401197382,9.566537177,-0.6442196499,1.080983527,0.9147283743,2
AR-10540,Andy Reiter,Consumer,7,15,7983.9505,2.079441542,2.772588722,8.985313862,-1.162000538,0.2275493716,0.4639163625,2
AR-10570,Anemone Ratner,Consumer,3,18,9445.64932,1.386294361,2.944438979,9.153415388,-1.679781426,0.4608628595,0.5943003053,2
AR-10825,Anthony Rawles,Corporate,23,38,15311.0356,3.17805383,3.663561646,9.636394439,-0.3413372467,1.437183877,0.9689114945,2
AR-345,Alex Russell,Corporate,142,9,2301.072,4.96284463,2.302585093,7.741564866,0.9919013376,-0.410553754,-0.5007679027,1
AR-405,Allen Rosenblatt,Corporate,223,6,571.11,5.411646052,1.945910149,6.349331281,1.327155964,-0.8947955393,-1.580620701,1
AR-510,Andrew Roberts,Consumer,105,10,2638.638,4.663439094,2.397895273,7.878397066,0.7682454262,-0.2811553412,-0.3946372684,1
AR-540,Andy Reiter,Consumer,222,8,561.6,5.407171771,2.197224577,6.332568896,1.323813676,-0.553597063,-1.593622045,1
AR-570,Anemone Ratner,Consumer,71,9,2044.278,4.276666119,2.302585093,7.623289001,0.4793260448,-0.410553754,-0.5925057588,1
AR-825,Anthony Rawles,Corporate,34,7,2028.912,3.555348061,2.079441542,7.615747721,-0.05949848629,-0.7135058775,-0.5983549723,1
AS-10045,Aaron Smayling,Corporate,24,28,12596.2944,3.218875825,3.36729583,9.44123734,-0.31084322,1.034956891,0.817542542,2
AS-10090,Adam Shillingsburg,Consumer,16,32,15009.47272,2.833213344,3.496507561,9.616503418,-0.5989330623,1.21038194,0.9534834983,2
AS-10135,Adrian Shami,Home Office,42,19,7307.2442,3.761200116,2.995732274,8.896758332,0.09427298168,0.5305014951,0.3952303769,2
AS-10225,Alan Schoenberger,Corporate,13,28,21366.8987,2.63905733,3.36729583,9.969645014,-0.7439675895,1.034956891,1.227389361,2
AS-10240,Alan Shonely,Consumer,13,31,9006.66636,2.63905733,3.465735903,9.105831312,-0.7439675895,1.168604621,0.5573928502,2
AS-10285,Alejandro Savely,Corporate,19,30,16179.86246,2.995732274,3.433987204,9.691584493,-0.477531435,1.125500818,1.011718345,2
AS-10630,Ann Steele,Home Office,36,19,9815.9395,3.610917913,2.995732274,9.191864693,-0.01798781194,0.5305014951,0.624122592,2
AS-135,Adrian Shami,Home Office,93,5,3978.81,4.543294782,1.791759469,8.288989358,0.6784976348,-1.104079095,-0.0761711423,1
AS-225,Alan Schoenberger,Corporate,3,7,469.515,1.386294361,2.079441542,6.153827839,-1.679781426,-0.7135058775,-1.732258286,1
AS-240,Alan Shonely,Consumer,499,5,1686.51,6.214608098,1.791759469,7.431009349,1.926968548,-1.104079095,-0.741642888,1
AS-285,Alejandro Savely,Corporate,100,13,4938.462,4.615120517,2.63905733,8.505011697,0.7321514528,0.04625970977,0.09138143627,1
AS-45,Aaron Smayling,Corporate,234,3,1616.334,5.459585514,1.386294361,7.388534394,1.362966738,-1.654561127,-0.7745875746,1
AS-630,Ann Steele,Home Office,34,11,2000.01,3.555348061,2.48490665,7.601407332,-0.05949848629,-0.1630238457,-0.6094777534,1
AS-90,Adam Shillingsburg,Consumer,22,4,435.204,3.135494216,1.609437912,6.078110024,-0.3731292752,-1.351609003,-1.790987005,1
AT-10435,Alyssa Tate,Home Office,13,24,13654.3055,2.63905733,3.218875825,9.521883406,-0.7439675895,0.8334536186,0.8800937416,2
AT-10735,Annie Thurman,Consumer,3,29,12984.1049,1.386294361,3.401197382,9.471558203,-1.679781426,1.080983527,0.8410601967,2
AT-435,Alyssa Tate,Home Office,29,12,1287.993,3.401197382,2.564949357,7.161616572,-0.1746490318,-0.05435340408,-0.9505909743,1
AT-735,Annie Thurman,Consumer,70,5,403.65,4.262679877,1.791759469,6.003022496,0.4688783232,-1.104079095,-1.849226856,1
AW-10840,Anthony Witt,Consumer,17,25,13200.25552,2.890371758,3.258096538,9.488067219,-0.5562357317,0.886701845,0.8538650219,2
AW-10930,Arthur Wiediger,Home Office,36,22,10230.95856,3.610917913,3.135494216,9.233271293,-0.01798781194,0.7202500986,0.6562386347,2
AW-840,Anthony Witt,Consumer,57,7,1947.0,4.060443011,2.079441542,7.574558484,0.3178074001,-0.7135058775,-0.6303024224,1
AW-930,Arthur Wiediger,Home Office,38,6,782.055,3.663561646,1.945910149,6.663202936,0.02133705275,-0.8947955393,-1.337173632,1
AY-10555,Andy Yotov,Corporate,15,16,5446.61044,2.772588722,2.833213344,8.60293234,-0.6442196499,0.3098567374,0.167331249,2
AY-555,Andy Yotov,Corporate,36,11,3096.42,3.610917913,2.48490665,8.038324786,-0.01798781194,-0.1630238457,-0.2705931437,1
AZ-10750,Annie Zypern,Consumer,71,18,9639.801,4.276666119,2.944438979,9.173759475,0.4793260448,0.4608628595,0.6100797116,2
AZ-750,Annie Zypern,Consumer,27,10,2231.277,3.33220451,2.397895273,7.71077742,-0.2261867012,-0.2811553412,-0.5246474516,1
BB-10990,Barry Blumstein,Corporate,15,30,9064.5327,2.772588722,3.433987204,9.112234886,-0.6442196499,1.125500818,0.5623596301,2
BB-11545,Brenda Bowman,Corporate,29,26,15797.57188,3.401197382,3.295836866,9.667674828,-0.1746490318,0.937940218,0.9931733827,2
BB-1545,Brenda Bowman,Corporate,50,5,207.228,3.931825633,1.791759469,5.338633633,0.2217302292,-1.104079095,-2.364544243,1
BB-990,Barry Blumstein,Corporate,51,7,822.288,3.951243719,2.079441542,6.713306079,0.2362355378,-0.7135058775,-1.298312324,1
BC-11125,Becky Castell,Home Office,34,28,14789.447,3.555348061,3.36729583,9.601736778,-0.05949848629,1.034956891,0.9420301063,2
BC-1125,Becky Castell,Home Office,30,6,396.042,3.433987204,1.945910149,5.984042069,-0.1501550367,-0.8947955393,-1.863948572,1
BD-11320,Bill Donatelli,Consumer,6,32,13390.267,1.945910149,3.496507561,9.502358057,-1.261748478,1.21038194,0.8649493697,2
BD-11500,Bradley Drucker,Consumer,20,27,13089.8495,3.044522438,3.33220451,9.479668754,-0.4410851863,0.9873149589,0.8473509523,2
BD-11560,Brendan Dodson,Home Office,8,19,9356.77974,2.197224577,2.995732274,9.143963334,-1.07401662,0.5305014951,0.5869690447,2
BD-11605,Brian Dahlen,Consumer,98,19,9202.66214,4.59511985,2.995732274,9.127356743,0.7172109564,0.5305014951,0.5740885378,2
BD-11620,Brian DeCherney,Consumer,50,25,7849.00002,3.931825633,3.258096538,8.968268813,0.2217302292,0.886701845,0.4506957771,2
BD-11635,Brian Derr,Consumer,10,25,11230.6983,2.397895273,3.258096538,9.326495265,-0.9241156266,0.886701845,0.7285455866,2
BD-11725,Bruce Degenhardt,Consumer,5,30,10877.827,1.791759469,3.433987204,9.294573702,-1.376899023,1.125500818,0.703786387,2
BD-11770,Bryan Davis,Consumer,36,26,10168.32526,3.610917913,3.295836866,9.227131141,-0.01798781194,0.937940218,0.6514761717,2
BD-1320,Bill Donatelli,Consumer,6,6,1885.05,1.945910149,1.945910149,7.542239974,-1.261748478,-0.8947955393,-0.6553695046,1
BD-1500,Bradley Drucker,Consumer,399,3,52.047,5.991464547,1.386294361,3.971178313,1.760280333,-1.654561127,-3.42517837,1
BD-1560,Brendan Dodson,Home Office,91,5,1564.02,4.521788577,1.791759469,7.355653882,0.6624325013,-1.104079095,-0.8000905594,1
BD-1605,Brian Dahlen,Consumer,276,5,689.64,5.624017506,1.791759469,6.537618704,1.485797423,-1.104079095,-1.434580049,1
BD-1620,Brian DeCherney,Consumer,118,11,2919.597,4.779123493,2.48490665,7.979543326,0.8546616629,-0.1630238457,-0.3161855818,1
BD-1635,Brian Derr,Consumer,325,9,5689.263,5.786897381,2.302585093,8.646511747,1.607468677,-0.410553754,0.2011325777,1
BD-1725,Bruce Degenhardt,Consumer,101,13,5078.4,4.624972813,2.63905733,8.532948423,0.7395111175,0.04625970977,0.113049892,1
BD-1770,Bryan Davis,Consumer,239,5,3405.066,5.480638923,1.791759469,8.133313239,1.378693633,-1.104079095,-0.1969176143,1
BE-11335,Bill Eplett,Home Office,36,37,27158.0184,3.610917913,3.63758616,10.20946444,-0.01798781194,1.401918109,1.413399582,2
BE-11410,Bobby Elias,Consumer,85,30,16552.06996,4.454347296,3.433987204,9.71432686,0.6120538699,1.125500818,1.029357919,2
BE-11455,Brad Eason,Home Office,4,27,17643.5253,1.609437912,3.33220451,9.778180833,-1.513093211,0.9873149589,1.078884732,2
BE-1335,Bill Eplett,Home Office,573,5,1321.149,6.352629396,1.791759469,7.187013722,2.030070446,-1.104079095,-0.9308922805,1
BE-1410,Bobby Elias,Consumer,22,7,1859.859,3.135494216,2.079441542,7.528793488,-0.3731292752,-0.7135058775,-0.6657989509,1
BE-1455,Brad Eason,Home Office,147,2,1340.31,4.997212274,1.098612289,7.201402027,1.017573965,-2.045134344,-0.9197323344,1
BF-1005,Barry Franz,Home Office,735,2,732.033,6.601230119,1.098612289,6.597190721,2.215775166,-2.045134344,-1.388374433,1
BF-1020,Barry Franz�sisch,Corporate,97,7,3006.996,4.584967479,2.079441542,8.009029355,0.7096271357,-0.7135058775,-0.2933154463,1
BF-1080,Bart Folk,Consumer,210,6,3808.17,5.351858133,1.945910149,8.245166597,1.282494393,-0.8947955393,-0.110161223,1
BF-10975,Barbara Fisher,Corporate,36,22,8104.7792,3.610917913,3.135494216,9.000332568,-0.01798781194,0.7202500986,0.475565264,2
BF-11005,Barry Franz,Home Office,9,25,23347.83866,2.302585093,3.258096538,10.05830253,-0.9953123232,0.886701845,1.296154447,2
BF-11020,Barry Franz�sisch,Corporate,16,24,10201.2813,2.833213344,3.218875825,9.230366631,-0.5989330623,0.8334536186,0.6539857027,2
BF-11080,Bart Folk,Consumer,26,21,10134.5617,3.295836866,3.091042453,9.223805479,-0.2533533285,0.6598999079,0.6488967016,2
BF-11170,Ben Ferrer,Home Office,17,31,22314.84044,2.890371758,3.465735903,10.01305204,-0.5562357317,1.168604621,1.261056985,2
BF-11215,Benjamin Farhat,Home Office,27,27,12968.9385,3.33220451,3.33220451,9.470389536,-0.2261867012,0.9873149589,0.840153748,2
BF-11275,Beth Fritzler,Corporate,7,23,9578.59864,2.079441542,3.17805383,9.167390974,-1.162000538,0.7780314034,0.6051401356,2
BF-1170,Ben Ferrer,Home Office,194,6,904.92,5.272999559,1.945910149,6.808951002,1.223587044,-0.8947955393,-1.224127619,1
BF-1215,Benjamin Farhat,Home Office,118,5,398.919,4.779123493,1.791759469,5.991262027,0.8546616629,-1.104079095,-1.858348584,1
BF-1275,Beth Fritzler,Corporate,129,7,1009.974,4.86753445,2.079441542,6.918669502,0.920704641,-0.7135058775,-1.139027079,1
BF-975,Barbara Fisher,Corporate,23,8,1730.232,3.17805383,2.197224577,7.456588573,-0.3413372467,-0.553597063,-0.7218029725,1
BG-1035,Barry Gonzalez,Consumer,601,1,124.416,6.400257445,0.6931471806,4.831636212,2.065648595,-2.595616376,-2.757784709,1
BG-11035,Barry Gonzalez,Consumer,29,33,19899.1474,3.401197382,3.526360525,9.898482418,-0.1746490318,1.250911987,1.172193789,2
BG-11695,Brooke Gillingham,Corporate,10,19,10723.32038,2.397895273,2.995732274,9.280269374,-0.9241156266,0.5305014951,0.6926915759,2
BG-11740,Bruce Geld,Consumer,7,24,14689.3425,2.079441542,3.218875825,9.594945584,-1.162000538,0.8334536186,0.9367626783,2
BG-1695,Brooke Gillingham,Corporate,45,5,488.85,3.828641396,1.791759469,6.194099222,0.144651613,-1.104079095,-1.701022748,1
BG-1740,Bruce Geld,Consumer,17,4,692.454,2.890371758,1.609437912,6.541684907,-0.5562357317,-1.351609003,-1.431426195,1
BH-11710,Brosina Hoffman,Consumer,24,31,23537.335,3.218875825,3.465735903,10.06638565,-0.31084322,1.168604621,1.302423927,2
BH-1710,Brosina Hoffman,Consumer,94,10,4583.286,4.553876892,2.397895273,8.430389647,0.6864024697,-0.2811553412,0.03350262172,1
BK-11260,Berenike Kampe,Consumer,27,27,13294.68736,3.33220451,3.33220451,9.495195003,-0.2261867012,0.9873149589,0.8593935175,2
BK-1260,Berenike Kampe,Consumer,41,6,291.564,3.737669618,1.945910149,5.678683446,0.076695702,-0.8947955393,-2.10079271,1
BM-11140,Becky Martin,Consumer,9,29,25312.2927,2.302585093,3.401197382,10.13908494,-0.9953123232,1.080983527,1.358811401,2
BM-1140,Becky Martin,Consumer,14,6,1857.69,2.708050201,1.945910149,7.527627217,-0.69242992,-0.8947955393,-0.6667035408,1
BM-11575,Brendan Murry,Corporate,35,25,10351.33308,3.583518938,3.258096538,9.244967192,-0.03845484346,0.886701845,0.6653102795,2
BM-11650,Brian Moss,Corporate,34,24,14920.99608,3.555348061,3.218875825,9.61059165,-0.05949848629,0.8334536186,0.9488981767,2
BM-11785,Bryan Mills,Consumer,3,36,18446.8529,1.386294361,3.610917913,9.822703269,-1.679781426,1.36571181,1.113417498,2
BM-1575,Brendan Murry,Corporate,41,9,1703.982,3.737669618,2.302585093,7.441309832,0.076695702,-0.410553754,-0.7336535633,1
BM-1650,Brian Moss,Corporate,482,8,2537.106,6.180016654,2.197224577,7.839173413,1.901128741,-0.553597063,-0.4250601599,1
BM-1785,Bryan Mills,Consumer,49,9,2244.342,3.912023005,2.302585093,7.716613127,0.2069376682,-0.410553754,-0.5201211243,1
BN-11470,Brad Norvell,Corporate,12,29,23378.10388,2.564949357,3.401197382,10.05959791,-0.7993262387,1.080983527,1.297159177,2
BN-11515,Bradley Nguyen,Consumer,10,23,10272.22552,2.397895273,3.17805383,9.237296326,-0.9241156266,0.7780314034,0.6593605552,2
BN-1470,Brad Norvell,Corporate,23,7,2823.852,3.17805383,2.079441542,7.946211253,-0.3413372467,-0.7135058775,-0.3420388102,1
BN-1515,Bradley Nguyen,Consumer,28,8,2606.802,3.36729583,2.197224577,7.866263,-0.1999734881,-0.553597063,-0.4040487672,1
BO-11350,Bill Overfelt,Corporate,112,20,7476.2547,4.727387819,3.044522438,8.919620985,0.8160151183,0.5967417416,0.4129632485,2
BO-11425,Bobby Odegard,Consumer,6,21,12356.58552,1.945910149,3.091042453,9.422025366,-1.261748478,0.6598999079,0.8026412322,2
BO-1350,Bill Overfelt,Corporate,22,6,616.236,3.135494216,1.945910149,6.425251447,-0.3731292752,-0.8947955393,-1.521735034,1
BO-1425,Bobby Odegard,Consumer,2,8,2671.257,1.098612289,2.197224577,7.890678713,-1.894679911,-0.553597063,-0.3851113015,2
BP-1050,Barry Pond,Corporate,12,9,4981.542,2.564949357,2.302585093,8.513695482,-0.7993262387,-0.410553754,0.09811680651,2
BP-1095,Bart Pistole,Corporate,12,6,1759.668,2.564949357,1.945910149,7.473448561,-0.7993262387,-0.8947955393,-0.7087259241,1
